Location,Longitude,Latitude
Queen's Tower,-0.17694,51.49824
Cromwell Rd,-0.17882,51.49545
Queen's Gate,-0.18012,51.50137
Kensington Gore,-0.17475,51.50164
Prince's Gate Garden,-0.17229,51.50078
Imperial College Main Entrance,-0.17444,51.49888
