timestamp,pm1,pm2_5,pm10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,luxLevel,motion,battery,gpsLatitude,gpsLongitude,gpsAccuracy
2020-08-10 13:12:15.807000,4.135834217071533,11.242217063903809,50.897239685058594,837,311,64,17,13,6,11,7,1,2,0,0,0,0,0,3,36.60000228881836,34.20000076293945,0.0,None,-5921.0,51.4946451,-0.1735129,13.0
2020-08-10 13:12:46.311000,3.228097438812256,7.750750541687012,54.833824157714844,914,175,37,20,8,6,5,0,2,0,0,1,1,0,1,4,36.70000076293945,34.10000228881836,0.0,None,-3547.0,51.4949623,-0.1734574,13.0
2020-08-10 13:13:16.146000,3.3525381088256836,8.731277465820312,58.926387786865234,744,283,62,17,11,6,3,9,1,3,1,0,0,1,0,4,36.70000076293945,33.70000076293945,0.0,None,-19388.0,51.49518,-0.1735512,11.0
2020-08-10 13:13:45.991000,3.235441207885742,7.323498249053955,37.671234130859375,891,254,39,12,11,1,7,3,1,2,1,0,3,0,0,0,36.79999923706055,33.400001525878906,0.0,None,16926.0,51.4955992,-0.1736296,11.0
2020-08-10 13:14:14.542000,4.10946798324585,9.517743110656738,29.663026809692383,823,508,56,11,14,4,9,5,0,1,0,0,0,0,1,1,36.900001525878906,33.29999923706055,0.0,None,27496.0,51.4958721,-0.1736529,11.0
2020-08-10 13:14:46.970000,0.6629739999771118,1.104907512664795,3.2199978828430176,284,50,1,1,0,0,2,0,1,0,0,0,0,0,0,0,36.900001525878906,34.0,0.0,None,-26753.0,51.4961582,-0.1739082,14.0
2020-08-10 13:15:17.468000,2.6476950645446777,7.189910411834717,42.57404708862305,741,168,37,13,11,3,10,3,2,1,0,1,0,0,0,3,37.0,33.60000228881836,0.0,None,-19336.0,51.4965066,-0.1738617,16.0
2020-08-10 13:15:49.259000,2.490661382675171,6.307804107666016,45.65436553955078,676,146,37,7,8,4,7,2,1,1,0,0,1,1,0,3,37.0,33.20000076293945,0.0,None,-4608.0,51.497016,-0.1739377,15.0
2020-08-10 13:16:22.345000,3.206143617630005,9.047371864318848,58.88572311401367,749,294,50,23,13,6,9,6,5,1,0,1,0,0,0,5,37.0,33.5,0.0,None,-3374.0,51.4973969,-0.1739047,16.0
2020-08-10 13:16:54.134000,2.883495807647705,8.214997291564941,43.941001892089844,667,210,54,17,7,9,6,5,4,2,1,0,0,1,0,1,37.10000228881836,33.400001525878906,0.0,None,28897.0,51.4976807,-0.1740973,18.0
